symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BLDR,2025-06-30 17:42:00+00:00,116.935,116.95,116.935,116.94,300.0,3.0,116.941667
BLDR,2025-06-30 17:44:00+00:00,117.025,117.025,117.025,117.025,103.0,4.0,117.025
BLDR,2025-06-30 17:45:00+00:00,116.97,116.97,116.97,116.97,127.0,3.0,116.97
BLDR,2025-06-30 17:46:00+00:00,117.03,117.03,117.03,117.03,228.0,5.0,117.03
BLDR,2025-06-30 17:50:00+00:00,117.12,117.12,117.12,117.12,103.0,2.0,117.12
BLDR,2025-06-30 17:52:00+00:00,116.78,116.78,116.78,116.78,200.0,6.0,116.78
BLDR,2025-06-30 17:55:00+00:00,116.71,116.71,116.71,116.71,425.0,7.0,116.71
BLDR,2025-06-30 17:57:00+00:00,116.22,116.28,116.22,116.28,816.0,11.0,116.23
BLDR,2025-06-30 17:58:00+00:00,116.31,116.34,116.31,116.34,243.0,4.0,116.325
BLDR,2025-06-30 17:59:00+00:00,116.39,116.39,116.39,116.39,264.0,8.0,116.39
BLDR,2025-06-30 18:01:00+00:00,116.595,116.6,116.595,116.6,493.0,14.0,116.597561
BLDR,2025-06-30 18:06:00+00:00,116.65,116.65,116.63,116.63,423.0,9.0,116.64
BLDR,2025-06-30 18:08:00+00:00,116.75,116.755,116.75,116.755,364.0,10.0,116.7525
BLDR,2025-06-30 18:09:00+00:00,116.795,116.795,116.795,116.795,577.0,7.0,116.795
BLDR,2025-06-30 18:10:00+00:00,116.715,116.715,116.68,116.68,301.0,9.0,116.6975
BLDR,2025-06-30 18:18:00+00:00,116.5,116.5,116.5,116.5,510.0,17.0,116.5
BLDR,2025-06-30 18:22:00+00:00,116.66,116.66,116.66,116.66,200.0,2.0,116.66
BLDR,2025-06-30 18:24:00+00:00,116.665,116.665,116.665,116.665,238.0,4.0,116.665
BLDR,2025-06-30 18:25:00+00:00,116.665,116.665,116.665,116.665,119.0,2.0,116.665
BLDR,2025-06-30 18:26:00+00:00,116.605,116.605,116.605,116.605,192.0,6.0,116.605
BLDR,2025-06-30 18:27:00+00:00,116.65,116.65,116.65,116.65,100.0,1.0,116.65
BLDR,2025-06-30 18:28:00+00:00,116.645,116.65,116.645,116.65,200.0,2.0,116.6475
BLDR,2025-06-30 18:29:00+00:00,116.645,116.645,116.645,116.645,110.0,2.0,116.645
BLDR,2025-06-30 18:30:00+00:00,116.68,116.68,116.68,116.68,177.0,3.0,116.68
BLDR,2025-06-30 18:31:00+00:00,116.68,116.68,116.68,116.68,220.0,3.0,116.68
BLDR,2025-06-30 18:32:00+00:00,116.635,116.635,116.635,116.635,203.0,10.0,116.635
BLDR,2025-06-30 18:40:00+00:00,116.58,116.58,116.575,116.575,400.0,9.0,116.577095
BLDR,2025-06-30 18:41:00+00:00,116.52,116.52,116.52,116.52,214.0,4.0,116.52
BLDR,2025-06-30 18:45:00+00:00,116.64,116.65,116.64,116.64,584.0,21.0,116.6425
BLDR,2025-06-30 18:46:00+00:00,116.64,116.64,116.64,116.64,180.0,3.0,116.64
BLDR,2025-06-30 18:50:00+00:00,116.555,116.63,116.555,116.63,581.0,11.0,116.58
BLDR,2025-06-30 18:52:00+00:00,116.73,116.73,116.73,116.73,118.0,2.0,116.73
BLDR,2025-06-30 18:55:00+00:00,116.75,116.75,116.69,116.7,482.0,14.0,116.713333
BLDR,2025-06-30 19:00:00+00:00,116.735,116.735,116.735,116.735,228.0,7.0,116.735
BLDR,2025-06-30 19:01:00+00:00,116.745,116.79,116.745,116.79,200.0,2.0,116.7675
BLDR,2025-06-30 19:03:00+00:00,116.72,116.75,116.72,116.73,300.0,3.0,116.733333
BLDR,2025-06-30 19:04:00+00:00,116.77,116.81,116.77,116.81,297.0,4.0,116.79
BLDR,2025-06-30 19:05:00+00:00,116.835,116.835,116.83,116.83,269.0,4.0,116.833113
BLDR,2025-06-30 19:09:00+00:00,116.93,116.93,116.86,116.86,205.0,4.0,116.895
BLDR,2025-06-30 19:10:00+00:00,116.88,116.88,116.88,116.88,100.0,1.0,116.88
BLDR,2025-06-30 19:11:00+00:00,116.9,116.9,116.9,116.9,122.0,2.0,116.9
BLDR,2025-06-30 19:14:00+00:00,116.88,116.88,116.88,116.88,273.0,6.0,116.88
BLDR,2025-06-30 19:15:00+00:00,116.905,116.905,116.905,116.905,100.0,1.0,116.905
BLDR,2025-06-30 19:17:00+00:00,116.86,116.86,116.85,116.85,201.0,3.0,116.855
BLDR,2025-06-30 19:21:00+00:00,116.77,116.77,116.77,116.77,338.0,12.0,116.77
BLDR,2025-06-30 19:23:00+00:00,116.74,116.74,116.74,116.74,119.0,5.0,116.74
BLDR,2025-06-30 19:27:00+00:00,116.93,116.94,116.93,116.93,313.0,9.0,116.933333
BLDR,2025-06-30 19:33:00+00:00,116.76,116.76,116.76,116.76,100.0,1.0,116.76
BLDR,2025-06-30 19:36:00+00:00,116.68,116.69,116.68,116.69,225.0,4.0,116.685
BLDR,2025-06-30 19:37:00+00:00,116.66,116.66,116.66,116.66,333.0,12.0,116.66
BLDR,2025-06-30 19:38:00+00:00,116.48,116.48,116.48,116.48,140.0,4.0,116.48
BLDR,2025-06-30 19:40:00+00:00,116.68,116.68,116.68,116.68,207.0,5.0,116.68
BLDR,2025-06-30 19:42:00+00:00,116.71,116.71,116.71,116.71,324.0,13.0,116.71
BLDR,2025-06-30 19:44:00+00:00,116.68,116.68,116.68,116.68,398.0,19.0,116.68
BLDR,2025-06-30 19:45:00+00:00,116.6,116.6,116.6,116.6,232.0,8.0,116.6
BLDR,2025-06-30 19:46:00+00:00,116.55,116.63,116.55,116.63,378.0,13.0,116.596667
BLDR,2025-06-30 19:48:00+00:00,116.71,116.73,116.71,116.73,214.0,9.0,116.72
BLDR,2025-06-30 19:50:00+00:00,116.77,116.77,116.71,116.71,567.0,10.0,116.732012
BLDR,2025-06-30 19:51:00+00:00,117.01,117.01,117.01,117.01,245.0,5.0,117.01
BLDR,2025-06-30 19:52:00+00:00,117.01,117.01,117.01,117.01,449.0,16.0,117.01
BLDR,2025-06-30 19:53:00+00:00,116.81,116.9,116.81,116.9,581.0,11.0,116.850076
BLDR,2025-06-30 19:54:00+00:00,116.9,116.9,116.89,116.89,875.0,25.0,116.893061
BLDR,2025-06-30 19:55:00+00:00,116.89,116.89,116.78,116.78,602.0,18.0,116.84
BLDR,2025-06-30 19:56:00+00:00,116.745,116.745,116.725,116.73,996.0,27.0,116.733065
BLDR,2025-06-30 19:57:00+00:00,116.735,116.82,116.72,116.82,1698.0,44.0,116.761111
BLDR,2025-06-30 19:58:00+00:00,116.84,116.88,116.8,116.8,2295.0,71.0,116.847083
BLDR,2025-06-30 19:59:00+00:00,116.76,116.77,116.73,116.74,2001.0,57.0,116.751152
BLDR,2025-07-01 13:32:00+00:00,116.09,116.09,116.0,116.0,480.0,8.0,116.03625
BLDR,2025-07-01 13:34:00+00:00,115.91,115.91,115.91,115.91,284.0,11.0,115.91
BLDR,2025-07-01 13:35:00+00:00,116.18,116.18,116.18,116.18,194.0,7.0,116.18
BLDR,2025-07-01 13:41:00+00:00,117.03,117.03,117.03,117.03,110.0,2.0,117.03
BLDR,2025-07-01 13:42:00+00:00,117.135,117.135,117.135,117.135,289.0,3.0,117.135
BLDR,2025-07-01 13:47:00+00:00,117.27,117.27,117.27,117.27,180.0,2.0,117.27
BLDR,2025-07-01 13:49:00+00:00,117.67,117.67,117.67,117.67,703.0,22.0,117.67
BLDR,2025-07-01 13:51:00+00:00,118.34,118.47,118.34,118.47,235.0,4.0,118.405
BLDR,2025-07-01 13:52:00+00:00,118.46,118.46,118.42,118.42,736.0,11.0,118.446
BLDR,2025-07-01 13:53:00+00:00,118.51,118.67,118.51,118.67,520.0,12.0,118.57
BLDR,2025-07-01 13:54:00+00:00,118.57,118.825,118.49,118.815,870.0,11.0,118.697143
BLDR,2025-07-01 13:55:00+00:00,118.79,118.79,118.79,118.79,345.0,15.0,118.79
BLDR,2025-07-01 13:56:00+00:00,118.56,118.56,118.56,118.56,100.0,1.0,118.56
BLDR,2025-07-01 13:59:00+00:00,118.56,118.56,118.55,118.55,231.0,5.0,118.555
BLDR,2025-07-01 14:00:00+00:00,118.395,118.395,118.395,118.395,100.0,1.0,118.395
BLDR,2025-07-01 14:01:00+00:00,118.56,118.56,118.56,118.56,170.0,4.0,118.56
BLDR,2025-07-01 14:03:00+00:00,118.91,118.91,118.88,118.89,654.0,16.0,118.892
BLDR,2025-07-01 14:07:00+00:00,119.185,119.47,119.185,119.47,644.0,15.0,119.355
BLDR,2025-07-01 14:08:00+00:00,119.23,119.23,119.23,119.23,110.0,8.0,119.23
BLDR,2025-07-01 14:10:00+00:00,119.345,119.345,119.345,119.345,225.0,12.0,119.345
BLDR,2025-07-01 14:11:00+00:00,120.0,120.0,119.78,119.78,835.0,11.0,119.963272
BLDR,2025-07-01 14:13:00+00:00,119.91,119.925,119.91,119.925,481.0,10.0,119.919118
BLDR,2025-07-01 14:14:00+00:00,120.07,120.07,120.07,120.07,120.0,2.0,120.07
BLDR,2025-07-01 14:16:00+00:00,121.0,121.0,120.72,120.97,857.0,21.0,120.87
BLDR,2025-07-01 14:18:00+00:00,120.97,120.97,120.97,120.97,151.0,4.0,120.97
BLDR,2025-07-01 14:19:00+00:00,121.26,121.26,121.26,121.26,102.0,2.0,121.26
BLDR,2025-07-01 14:21:00+00:00,121.26,121.56,121.26,121.56,249.0,6.0,121.41
BLDR,2025-07-01 14:24:00+00:00,121.62,121.62,121.62,121.62,101.0,2.0,121.62
BLDR,2025-07-01 14:25:00+00:00,121.59,121.7,121.57,121.62,819.0,14.0,121.625714
BLDR,2025-07-01 14:26:00+00:00,121.62,121.9,121.62,121.9,878.0,16.0,121.715
BLDR,2025-07-01 14:27:00+00:00,122.08,122.12,121.77,121.82,863.0,14.0,121.937266
BLDR,2025-07-01 14:28:00+00:00,121.74,121.74,121.74,121.74,122.0,4.0,121.74
BLDR,2025-07-01 14:29:00+00:00,121.95,121.965,121.95,121.965,226.0,4.0,121.9575
BLDR,2025-07-01 14:30:00+00:00,122.11,122.11,121.98,122.09,687.0,9.0,122.0748
BLDR,2025-07-01 14:31:00+00:00,122.08,122.08,121.97,122.02,1008.0,17.0,122.005
BLDR,2025-07-01 14:32:00+00:00,122.355,122.355,122.355,122.355,100.0,1.0,122.355
BLDR,2025-07-01 14:33:00+00:00,122.525,122.525,122.44,122.44,447.0,10.0,122.496667
BLDR,2025-07-01 14:34:00+00:00,122.605,122.605,122.505,122.505,2550.0,33.0,122.563252
BLDR,2025-07-01 14:35:00+00:00,122.47,122.585,122.39,122.39,1077.0,15.0,122.512778
BLDR,2025-07-01 14:37:00+00:00,122.35,122.45,122.35,122.45,445.0,9.0,122.378818
BLDR,2025-07-01 14:38:00+00:00,122.67,122.67,122.67,122.67,300.0,5.0,122.67
BLDR,2025-07-01 14:39:00+00:00,122.68,122.68,122.47,122.47,962.0,13.0,122.651888
BLDR,2025-07-01 14:40:00+00:00,122.485,122.485,122.45,122.45,402.0,13.0,122.4675
BLDR,2025-07-01 14:41:00+00:00,122.54,122.54,122.54,122.54,286.0,10.0,122.54
BLDR,2025-07-01 14:42:00+00:00,122.73,122.73,122.73,122.73,110.0,4.0,122.73
BLDR,2025-07-01 14:44:00+00:00,122.82,122.85,122.82,122.85,269.0,9.0,122.835
BLDR,2025-07-01 14:45:00+00:00,122.93,122.93,122.46,122.58,1991.0,34.0,122.626579
BLDR,2025-07-01 14:46:00+00:00,122.94,122.94,122.94,122.94,109.0,3.0,122.94
BLDR,2025-07-01 14:47:00+00:00,122.99,122.99,122.98,122.98,522.0,14.0,122.985
BLDR,2025-07-01 14:48:00+00:00,122.985,122.985,122.91,122.96,323.0,5.0,122.951667
BLDR,2025-07-01 14:49:00+00:00,122.83,123.2,122.83,123.165,1647.0,26.0,122.9636
BLDR,2025-07-01 14:50:00+00:00,123.01,123.31,123.01,123.29,1917.0,34.0,123.141111
BLDR,2025-07-01 14:51:00+00:00,123.16,123.18,123.08,123.08,425.0,6.0,123.14
BLDR,2025-07-01 14:52:00+00:00,123.02,123.02,122.82,122.99,1516.0,23.0,122.9075
BLDR,2025-07-01 14:53:00+00:00,123.23,123.24,123.23,123.24,290.0,9.0,123.235
BLDR,2025-07-01 14:54:00+00:00,123.23,123.325,123.23,123.325,435.0,10.0,123.275
BLDR,2025-07-01 14:55:00+00:00,123.525,123.525,123.525,123.525,114.0,5.0,123.525
BLDR,2025-07-01 14:56:00+00:00,123.53,123.61,123.505,123.51,890.0,17.0,123.5375
BLDR,2025-07-01 14:57:00+00:00,123.53,123.53,123.48,123.51,1122.0,25.0,123.508571
BLDR,2025-07-01 14:58:00+00:00,123.7,123.71,123.7,123.71,380.0,9.0,123.705
BLDR,2025-07-01 14:59:00+00:00,123.73,123.82,123.73,123.81,1252.0,17.0,123.810833
BLDR,2025-07-01 15:00:00+00:00,123.72,123.795,123.72,123.795,1217.0,22.0,123.73
BLDR,2025-07-01 15:01:00+00:00,123.795,123.795,123.6,123.6,1105.0,14.0,123.676111
BLDR,2025-07-01 15:02:00+00:00,123.54,123.54,123.415,123.415,420.0,8.0,123.4775
BLDR,2025-07-01 15:03:00+00:00,123.82,124.185,123.82,124.185,2531.0,52.0,124.100444
BLDR,2025-07-01 15:04:00+00:00,124.185,124.185,124.155,124.185,475.0,9.0,124.175
BLDR,2025-07-01 15:05:00+00:00,124.27,124.27,124.27,124.27,100.0,1.0,124.27
BLDR,2025-07-01 15:06:00+00:00,124.275,124.38,124.275,124.38,359.0,8.0,124.315
BLDR,2025-07-01 15:07:00+00:00,124.8,124.8,124.8,124.8,726.0,16.0,124.8
BLDR,2025-07-01 15:08:00+00:00,124.9,124.91,124.9,124.91,602.0,8.0,124.908333
BLDR,2025-07-01 15:09:00+00:00,125.27,125.36,125.27,125.35,1581.0,34.0,125.33
BLDR,2025-07-01 15:10:00+00:00,125.33,125.33,125.23,125.23,1518.0,31.0,125.301875
BLDR,2025-07-01 15:11:00+00:00,125.08,125.125,124.735,124.735,1167.0,26.0,124.973575
BLDR,2025-07-01 15:12:00+00:00,124.7,124.7,124.7,124.7,338.0,6.0,124.7
BLDR,2025-07-01 15:13:00+00:00,124.62,124.62,124.62,124.62,256.0,19.0,124.62
BLDR,2025-07-01 15:14:00+00:00,124.585,124.81,124.585,124.785,633.0,15.0,124.745
BLDR,2025-07-01 15:15:00+00:00,124.82,124.82,124.82,124.82,500.0,11.0,124.82
BLDR,2025-07-01 15:16:00+00:00,124.69,124.69,124.69,124.69,374.0,12.0,124.69
BLDR,2025-07-01 15:17:00+00:00,125.09,125.09,125.065,125.07,464.0,13.0,125.075
BLDR,2025-07-01 15:18:00+00:00,125.29,125.35,125.29,125.31,851.0,17.0,125.319167
BLDR,2025-07-01 15:19:00+00:00,125.45,125.54,125.44,125.54,324.0,5.0,125.476667
BLDR,2025-07-01 15:20:00+00:00,125.9,126.07,125.7,125.7,3511.0,42.0,125.971755
BLDR,2025-07-01 15:22:00+00:00,126.05,126.175,126.05,126.175,351.0,7.0,126.111667
BLDR,2025-07-01 15:24:00+00:00,126.23,126.37,126.21,126.27,791.0,18.0,126.267
BLDR,2025-07-01 15:25:00+00:00,126.13,126.13,126.09,126.11,468.0,9.0,126.103333
BLDR,2025-07-01 15:27:00+00:00,126.38,126.425,126.02,126.22,2381.0,42.0,126.26851
BLDR,2025-07-01 15:28:00+00:00,126.135,126.135,126.135,126.135,143.0,4.0,126.135
BLDR,2025-07-01 15:29:00+00:00,126.13,126.13,125.565,125.755,2219.0,35.0,125.772778
BLDR,2025-07-01 15:30:00+00:00,125.805,126.05,125.76,126.045,2242.0,39.0,125.842567
BLDR,2025-07-01 15:31:00+00:00,126.045,126.07,125.49,125.49,7670.0,54.0,125.852083
BLDR,2025-07-01 15:32:00+00:00,125.57,125.605,125.57,125.605,517.0,7.0,125.597408
BLDR,2025-07-01 15:33:00+00:00,125.475,125.51,125.45,125.45,1192.0,18.0,125.476098
BLDR,2025-07-01 15:34:00+00:00,125.75,125.825,125.75,125.825,347.0,7.0,125.8
BLDR,2025-07-01 15:36:00+00:00,125.9,125.9,125.9,125.9,150.0,3.0,125.9
BLDR,2025-07-01 15:37:00+00:00,126.13,126.3,126.13,126.3,777.0,15.0,126.232
BLDR,2025-07-01 15:38:00+00:00,126.235,126.435,126.185,126.435,774.0,14.0,126.28375
BLDR,2025-07-01 15:39:00+00:00,126.58,126.74,126.49,126.74,622.0,15.0,126.603333
BLDR,2025-07-01 15:41:00+00:00,126.66,126.695,126.615,126.68,2064.0,33.0,126.65605
BLDR,2025-07-01 15:43:00+00:00,126.745,127.05,126.69,126.865,2929.0,28.0,126.811462
BLDR,2025-07-01 15:45:00+00:00,126.82,127.075,126.71,127.01,1326.0,16.0,126.868889
BLDR,2025-07-01 15:46:00+00:00,127.005,127.31,127.005,127.31,503.0,7.0,127.1475
BLDR,2025-07-01 15:47:00+00:00,127.38,127.39,127.37,127.37,738.0,14.0,127.375
BLDR,2025-07-01 15:48:00+00:00,127.36,127.36,127.26,127.26,635.0,12.0,127.283
BLDR,2025-07-01 15:49:00+00:00,127.27,127.29,127.06,127.06,1230.0,20.0,127.2225
BLDR,2025-07-01 15:50:00+00:00,127.09,127.09,127.02,127.02,1272.0,19.0,127.029067
BLDR,2025-07-01 15:51:00+00:00,126.96,127.02,126.96,126.99,301.0,4.0,126.99
BLDR,2025-07-01 15:52:00+00:00,126.55,126.76,126.48,126.755,1200.0,21.0,126.605671
BLDR,2025-07-01 15:53:00+00:00,126.95,126.965,126.95,126.965,301.0,4.0,126.96
BLDR,2025-07-01 15:55:00+00:00,126.88,126.88,126.85,126.85,557.0,11.0,126.866957
BLDR,2025-07-01 15:56:00+00:00,126.97,126.97,126.97,126.97,155.0,4.0,126.97
BLDR,2025-07-01 15:57:00+00:00,126.97,126.97,126.935,126.935,515.0,14.0,126.955
BLDR,2025-07-01 15:59:00+00:00,126.845,126.845,126.835,126.835,234.0,8.0,126.84
BLDR,2025-07-01 16:00:00+00:00,126.92,127.01,126.85,127.01,952.0,17.0,126.944167
BLDR,2025-07-01 16:01:00+00:00,127.12,127.225,127.12,127.225,431.0,9.0,127.1725
BLDR,2025-07-01 16:03:00+00:00,126.97,126.97,126.97,126.97,207.0,4.0,126.97
BLDR,2025-07-01 16:04:00+00:00,127.07,127.27,127.02,127.27,1302.0,22.0,127.184027
BLDR,2025-07-01 16:05:00+00:00,127.08,127.08,127.08,127.08,293.0,17.0,127.08
BLDR,2025-07-01 16:06:00+00:00,127.29,127.61,127.29,127.61,914.0,20.0,127.421915
